applicant_id,income,employment_duration,credit_score,credit_risk_tier,region,birth_date,employment_status,housing_status,residential_status,state,application_date
AP-10271,961,249,839,Fair,Northeast,11/5/1951,employed,self-employed,rent,NC,3/17/2025 23:07
AP-10272,507,26,422,Excellent,Southeast,2/8/1967,employed,employed,own,NC,11/14/2025 17:53
AP-10273,924,57,619,Fair,Southeast,7/31/1957,employed,employed,rent,NC,8/29/2025 21:55
AP-10274,492,140,505,Good,West,11/24/1977,self-employed,retired,other,NC,7/22/2026 7:43
AP-10275,758,28,649,Good,Southeast,6/24/1993,retired,self-employed,other,NC,3/29/2025 9:02
AP-10276,951,251,813,Good,Southwest,12/8/1995,retired,employed,rent,NC,7/24/2025 17:27
AP-10277,752,213,507,Good,Midwest,11/8/1954,self-employed,self-employed,other,NC,8/14/2025 1:46
AP-10278,868,98,472,Excellent,Midwest,7/8/2005,retired,retired,rent,NC,6/5/2025 10:49
AP-10279,622,336,740,Good,Midwest,12/5/1971,employed,employed,rent,NC,1/23/2026 19:26
AP-10280,129,261,402,Good,Southeast,8/28/2003,self-employed,employed,other,NC,7/14/2025 5:34
AP-10281,180,281,701,Fair,Midwest,10/10/1955,self-employed,self-employed,rent,NC,4/5/2025 19:29
AP-10282,122,41,702,Subprime,West,8/9/1956,employed,retired,other,NC,5/10/2025 20:55
AP-10283,959,148,501,Good,Southeast,2/10/2005,retired,employed,own,NC,1/8/2025 0:39
AP-10284,845,235,604,Excellent,West,11/17/1968,employed,retired,rent,NC,8/30/2025 22:26
AP-10285,593,176,604,Subprime,Southeast,6/15/1985,employed,employed,other,NC,1/7/2026 21:25
AP-10286,152,193,414,Subprime,Northeast,1/1/1958,self-employed,self-employed,rent,NC,2/16/2025 15:24
AP-10287,506,329,412,Subprime,Southeast,4/23/1989,self-employed,employed,own,NC,1/17/2025 9:24
AP-10288,654,189,409,Fair,Midwest,4/17/1972,self-employed,retired,other,NC,11/25/2025 9:30
AP-10289,35,263,462,Good,West,4/9/1950,retired,retired,other,NC,8/16/2025 10:13
AP-10290,84,285,740,Good,Northeast,7/28/1972,self-employed,retired,rent,NC,12/24/2025 1:11
AP-10291,864,78,576,Subprime,Midwest,1/29/2005,retired,retired,rent,NC,1/24/2026 8:45
AP-10292,648,354,576,Subprime,Southeast,3/24/1945,retired,employed,rent,NC,3/30/2026 5:04
AP-10293,783,147,565,Excellent,Northeast,6/9/1950,retired,retired,rent,NC,4/7/2025 18:17
AP-10294,127,31,632,Fair,Midwest,10/8/1953,self-employed,self-employed,rent,NC,5/15/2026 5:57
AP-10295,138,40,420,Fair,Midwest,7/10/1986,employed,retired,rent,NC,7/30/2025 10:54
AP-10296,371,174,449,Subprime,Midwest,3/4/2001,retired,retired,other,NC,10/3/2025 4:47
AP-10297,354,89,719,Subprime,Southwest,8/28/1961,employed,retired,own,NC,6/2/2026 11:28
AP-10298,986,81,431,Good,Northeast,6/20/1987,retired,self-employed,own,NC,12/9/2025 4:55
AP-10299,961,62,340,Fair,Southwest,9/11/1949,retired,employed,own,NC,2/17/2025 11:29
AP-10300,70,70,811,Good,Midwest,10/15/1986,retired,employed,own,NC,10/24/2025 1:29
AP-10301,671,94,701,Excellent,Southeast,2/11/1975,employed,retired,other,NC,7/24/2026 14:07
AP-10302,480,81,388,Good,Southeast,3/10/1952,retired,employed,rent,NC,8/17/2025 20:27
AP-10303,172,87,318,Subprime,Southwest,4/17/1988,retired,self-employed,other,NC,4/29/2025 16:51
AP-10304,629,261,315,Subprime,West,6/8/1968,employed,self-employed,rent,NC,8/11/2025 4:23
AP-10305,351,107,632,Subprime,Southeast,1/13/1990,retired,employed,own,NC,11/24/2025 12:37
AP-10306,452,256,347,Fair,Southwest,11/14/2001,self-employed,retired,other,NC,6/13/2026 15:34
AP-10307,856,280,735,Fair,West,2/4/1976,employed,retired,rent,NC,12/5/2025 12:06
AP-10308,733,303,418,Excellent,Southeast,11/1/2004,employed,retired,own,NC,4/11/2025 8:50
AP-10309,720,277,375,Subprime,Northeast,5/25/1950,self-employed,self-employed,other,NC,9/25/2025 22:43
AP-10310,506,174,519,Subprime,West,10/29/1987,employed,self-employed,other,NC,3/13/2026 2:52
AP-10311,143,223,375,Subprime,Southeast,8/5/1987,employed,employed,own,NC,9/28/2025 14:08
AP-10312,500,164,392,Subprime,West,8/30/1966,employed,employed,rent,NC,4/3/2026 18:28
AP-10313,440,88,447,Good,West,10/25/1969,self-employed,retired,other,NC,1/19/2025 9:31
AP-10314,937,294,325,Excellent,West,9/28/1988,employed,employed,other,NC,11/11/2025 23:09
AP-10315,103,244,821,Subprime,Southwest,3/5/1947,self-employed,employed,rent,NC,1/11/2026 17:31
AP-10316,647,132,693,Subprime,Southeast,3/25/1948,employed,employed,rent,NC,10/30/2025 1:37
AP-10317,592,352,380,Excellent,West,7/14/2005,self-employed,self-employed,other,NC,6/27/2026 21:19
AP-10318,820,119,497,Subprime,Southwest,4/6/1953,self-employed,employed,other,NC,6/30/2025 0:08
AP-10319,524,71,354,Fair,Southeast,5/10/1982,retired,retired,other,NC,6/16/2025 4:27
AP-10320,942,73,389,Subprime,Northeast,6/26/1982,self-employed,retired,own,NC,12/30/2025 20:06
AP-10321,569,42,512,Excellent,Northeast,9/20/1990,employed,employed,other,NC,3/27/2025 12:03
AP-10322,281,357,393,Excellent,Midwest,2/4/1950,employed,self-employed,other,NC,2/4/2026 5:58
AP-10323,190,241,473,Subprime,Southwest,7/12/1972,employed,retired,own,NC,5/7/2026 16:13
AP-10324,295,329,414,Fair,Southeast,2/18/1958,self-employed,retired,own,NC,5/21/2026 22:50
AP-10325,59,14,469,Good,Midwest,11/25/1982,retired,retired,other,NC,12/2/2025 3:13
AP-10326,713,64,686,Excellent,West,5/6/1955,self-employed,retired,own,NC,11/17/2025 1:15
AP-10327,74,54,383,Good,Midwest,9/28/1988,retired,retired,own,NC,3/20/2025 13:42
AP-10328,588,5,478,Fair,West,10/28/1977,self-employed,retired,own,NC,5/4/2025 21:20
AP-10329,152,135,505,Subprime,Midwest,2/16/1997,self-employed,self-employed,other,NC,8/18/2025 17:22
AP-10330,442,299,534,Subprime,West,4/4/1978,self-employed,retired,rent,NC,10/23/2025 1:16
AP-10331,883,275,424,Good,Southwest,12/1/1968,employed,employed,rent,NC,6/2/2026 22:50
AP-10332,619,264,401,Excellent,West,12/4/1969,self-employed,self-employed,own,NC,1/7/2026 11:08
AP-10333,611,130,841,Subprime,Southeast,4/8/1962,employed,self-employed,own,NC,3/23/2026 10:18
AP-10334,219,223,813,Excellent,Northeast,2/17/1972,retired,retired,rent,NC,1/4/2026 1:54
AP-10335,661,38,732,Fair,Midwest,5/26/2003,employed,retired,own,NC,12/9/2025 11:20
AP-10336,836,271,427,Subprime,West,1/16/2007,retired,retired,own,NC,6/23/2026 8:19
AP-10337,673,75,707,Subprime,Southeast,10/20/1967,employed,employed,rent,NC,7/2/2025 1:50
AP-10338,409,204,328,Good,Northeast,3/5/1947,employed,employed,other,NC,6/16/2026 7:50
AP-10339,906,354,718,Subprime,Southwest,3/26/1973,self-employed,self-employed,rent,NC,5/27/2025 1:55
AP-10340,969,70,774,Good,Northeast,1/1/1986,employed,self-employed,rent,NC,6/24/2026 6:24
AP-10341,160,155,346,Good,Southeast,4/22/1995,retired,self-employed,other,NC,5/10/2026 9:03
AP-10342,786,123,333,Fair,Midwest,7/7/2002,retired,employed,rent,NC,7/14/2025 2:18
AP-10343,776,303,670,Excellent,Southwest,5/1/1993,retired,employed,rent,NC,9/16/2025 23:48
AP-10344,575,160,410,Good,Northeast,3/3/2004,retired,employed,own,NC,7/26/2025 8:58
AP-10345,774,202,819,Fair,Midwest,11/11/1988,employed,self-employed,rent,NC,1/4/2025 22:14
AP-10346,308,197,639,Subprime,Southeast,4/17/1978,self-employed,employed,other,NC,4/25/2026 0:17
AP-10347,751,321,464,Excellent,West,2/19/1964,self-employed,employed,rent,NC,2/7/2025 0:29
AP-10348,336,130,596,Subprime,Northeast,4/22/1965,employed,self-employed,own,NC,3/8/2026 7:55
AP-10349,632,16,465,Good,Northeast,9/20/1969,employed,employed,other,NC,12/26/2025 21:07
AP-10350,56,268,810,Excellent,Midwest,12/16/1956,retired,self-employed,own,NC,9/4/2025 3:31
AP-10351,318,114,785,Subprime,Southeast,5/8/1969,retired,self-employed,own,NC,7/1/2026 6:39
AP-10352,439,48,491,Fair,Southeast,1/2/2000,employed,employed,own,NC,3/3/2026 23:38
AP-10353,994,80,598,Good,West,7/10/1960,retired,employed,own,NC,1/31/2026 23:04
AP-10354,383,89,625,Fair,Southeast,8/15/1948,self-employed,retired,other,NC,2/16/2025 7:09
AP-10355,271,198,366,Excellent,West,4/15/1958,retired,retired,own,NC,7/19/2026 8:40
AP-10356,196,229,764,Fair,Southwest,9/30/1960,employed,retired,rent,NC,11/5/2025 20:07
AP-10357,220,128,392,Excellent,Midwest,11/27/1993,employed,employed,rent,NC,6/26/2026 16:46
AP-10358,133,117,623,Excellent,Southeast,2/1/1963,employed,employed,other,NC,3/21/2025 11:38
AP-10359,551,36,500,Excellent,West,8/18/1969,self-employed,retired,other,NC,7/6/2025 19:03
AP-10360,404,70,568,Fair,Midwest,6/28/1981,self-employed,retired,other,NC,5/20/2025 22:56
AP-10361,319,330,703,Excellent,Southeast,5/6/2004,employed,retired,own,NC,7/20/2026 9:10
AP-10362,94,176,549,Subprime,West,8/12/1989,self-employed,retired,rent,NC,4/9/2026 0:16
AP-10363,448,91,501,Excellent,Southeast,1/6/1991,employed,self-employed,own,NC,9/25/2025 6:30
AP-10364,126,277,794,Good,Southwest,8/21/2001,employed,employed,other,NC,8/21/2025 9:33
AP-10365,668,190,777,Good,West,1/19/1988,employed,employed,rent,NC,8/2/2025 15:56
AP-10366,809,325,770,Good,Midwest,3/28/1995,retired,retired,other,NC,4/6/2026 9:41
AP-10367,20,99,445,Good,Northeast,6/13/1988,employed,retired,rent,NC,2/20/2025 0:46
AP-10368,312,63,388,Good,Midwest,2/14/1959,retired,self-employed,rent,NC,2/26/2025 5:03
AP-10369,112,315,546,Good,Southwest,12/13/1965,self-employed,retired,other,NC,4/9/2026 14:38
AP-10370,840,339,587,Good,Midwest,5/15/1979,retired,employed,rent,NC,11/17/2025 12:44
AP-10371,98,219,470,Excellent,Northeast,5/31/1992,employed,employed,other,NC,4/18/2026 18:58
AP-10372,253,55,348,Fair,Northeast,12/1/1976,retired,retired,other,NC,10/6/2025 8:04
AP-10373,286,6,306,Good,West,6/13/1972,employed,employed,own,NC,5/31/2025 2:51
AP-10374,191,250,814,Subprime,Southeast,6/2/1997,retired,self-employed,rent,NC,1/9/2026 22:24
AP-10375,689,167,771,Excellent,Southwest,6/17/1998,self-employed,employed,own,NC,1/22/2026 19:11
AP-10376,903,262,514,Good,Southwest,8/7/2001,self-employed,self-employed,own,NC,4/22/2026 8:32
AP-10377,666,239,399,Good,West,1/19/1947,self-employed,retired,rent,NC,6/15/2026 9:19
AP-10378,80,291,828,Excellent,West,6/25/1948,self-employed,self-employed,rent,NC,4/21/2026 10:33
AP-10379,753,27,615,Excellent,Southwest,6/16/1992,self-employed,employed,own,NC,6/3/2025 5:52
AP-10380,183,356,634,Good,Midwest,6/10/1959,self-employed,self-employed,rent,NC,4/24/2026 0:01
AP-10381,561,201,627,Fair,Southwest,6/3/1995,self-employed,self-employed,own,NC,4/27/2025 22:53
AP-10382,363,92,693,Good,West,6/11/2000,retired,self-employed,own,NC,4/7/2025 12:35
AP-10383,137,322,616,Subprime,West,2/23/1990,retired,self-employed,other,NC,3/25/2026 19:43
AP-10384,66,344,468,Good,Midwest,2/9/1985,self-employed,employed,own,NC,6/26/2025 17:16
AP-10385,976,146,735,Excellent,Southwest,3/27/1960,retired,employed,rent,NC,4/21/2025 9:14
AP-10386,150,99,442,Subprime,Northeast,9/19/2000,employed,retired,other,NC,4/27/2025 0:22
AP-10387,684,283,478,Fair,Southeast,3/22/1946,employed,self-employed,other,NC,4/24/2025 19:01
AP-10388,888,293,649,Subprime,Southeast,11/27/1946,retired,employed,other,NC,5/9/2025 13:14
AP-10389,403,81,572,Subprime,Northeast,12/26/1950,retired,employed,rent,NC,7/22/2025 21:46
AP-10390,300,280,547,Good,Southwest,7/17/1957,self-employed,retired,own,NC,6/1/2025 10:29
AP-10391,618,109,664,Good,Southeast,4/5/1966,retired,self-employed,other,NC,4/21/2026 20:57
AP-10392,876,66,593,Good,Midwest,2/4/1993,retired,employed,other,NC,6/22/2025 4:40
AP-10393,645,213,644,Excellent,Midwest,6/5/1971,employed,retired,other,NC,1/23/2025 14:57
AP-10394,337,53,415,Excellent,Southwest,3/8/1952,employed,employed,own,NC,2/14/2025 22:05
AP-10395,235,46,461,Excellent,Southwest,4/1/1986,retired,employed,own,NC,8/23/2025 9:10
AP-10396,949,270,464,Subprime,Southeast,12/25/1967,employed,retired,other,NC,3/24/2026 14:48
AP-10397,84,54,385,Subprime,Midwest,11/17/1984,employed,self-employed,rent,NC,3/27/2026 23:51
AP-10398,376,7,345,Excellent,Southeast,5/9/1982,self-employed,employed,other,NC,6/21/2026 10:28
AP-10399,525,224,498,Good,West,6/2/1992,retired,self-employed,other,NC,9/21/2025 19:51
AP-10400,268,209,426,Subprime,Northeast,3/22/1952,retired,employed,own,NC,4/19/2025 21:21
AP-10401,87,148,472,Excellent,West,9/18/1997,employed,retired,rent,NC,10/19/2025 11:10
AP-10402,578,33,417,Subprime,Northeast,12/25/1950,self-employed,retired,rent,NC,5/1/2026 1:19
AP-10403,260,168,836,Good,Southeast,7/28/2005,self-employed,self-employed,other,NC,6/22/2025 11:48
AP-10404,390,131,712,Good,West,5/8/2005,self-employed,employed,other,NC,5/11/2025 0:16
AP-10405,743,306,844,Excellent,Midwest,2/11/1946,self-employed,employed,other,NC,4/6/2025 3:22
AP-10406,545,30,333,Excellent,Southwest,9/13/1964,employed,retired,rent,NC,9/15/2025 5:16
AP-10407,387,2,749,Subprime,West,1/23/1968,retired,self-employed,other,NC,1/12/2025 5:38
AP-10408,791,90,692,Excellent,Southeast,1/5/1956,employed,self-employed,own,NC,12/16/2025 5:23
AP-10409,571,87,508,Good,West,6/7/1993,self-employed,self-employed,other,NC,3/29/2026 20:43
AP-10410,191,133,632,Excellent,Northeast,4/11/1992,self-employed,self-employed,own,NC,12/25/2025 20:04
AP-10411,184,337,421,Subprime,Southeast,7/22/1996,employed,self-employed,other,NC,5/26/2025 14:43
AP-10412,558,348,649,Excellent,Southeast,6/13/1945,employed,self-employed,rent,NC,6/17/2025 1:34
AP-10413,975,344,351,Subprime,Midwest,6/11/1983,employed,employed,rent,NC,4/4/2025 19:54
AP-10414,925,192,652,Excellent,Midwest,8/22/1988,employed,employed,rent,NC,1/24/2026 17:14
AP-10415,89,190,466,Excellent,West,5/30/1963,self-employed,employed,own,NC,1/10/2026 14:47
AP-10416,632,339,591,Good,Southwest,7/3/1997,retired,self-employed,own,NC,2/12/2025 20:21
AP-10417,480,301,358,Fair,Southwest,10/10/1985,self-employed,retired,rent,NC,7/22/2025 8:54
AP-10418,111,108,473,Subprime,Midwest,12/24/1974,employed,retired,other,NC,4/7/2025 10:08
AP-10419,637,217,379,Excellent,Southeast,10/14/2002,self-employed,employed,own,NC,6/8/2026 15:38
AP-10420,934,193,673,Fair,West,1/5/1948,self-employed,employed,own,NC,3/18/2025 5:39
AP-10421,673,342,504,Subprime,West,11/20/1983,retired,employed,other,NC,1/13/2025 16:38
AP-10422,332,283,471,Fair,West,1/29/1945,retired,retired,other,NC,7/28/2026 1:43
AP-10423,637,92,305,Excellent,West,6/22/1954,employed,employed,other,NC,3/16/2025 20:40
AP-10424,795,331,621,Subprime,Midwest,10/9/2001,self-employed,employed,other,NC,6/28/2026 9:18
AP-10425,650,293,840,Fair,Northeast,8/21/1969,employed,self-employed,rent,NC,9/14/2025 12:06
AP-10426,266,193,373,Excellent,Northeast,1/14/1988,retired,employed,other,NC,12/4/2025 23:25
AP-10427,715,343,634,Subprime,Midwest,10/17/1977,self-employed,retired,other,NC,6/18/2025 18:30
AP-10428,641,21,438,Good,Northeast,12/3/1976,employed,employed,rent,NC,11/25/2025 11:45
AP-10429,326,167,747,Excellent,Southwest,4/3/2004,employed,retired,own,NC,3/18/2025 17:05
AP-10430,65,201,672,Fair,Northeast,5/8/2007,retired,retired,rent,NC,2/6/2026 3:32
AP-10431,263,354,567,Fair,Southeast,10/2/1990,self-employed,employed,own,NC,9/2/2025 15:19
AP-10432,448,154,736,Excellent,Midwest,6/9/1950,self-employed,retired,own,NC,4/25/2026 19:04
AP-10433,492,201,834,Subprime,Southeast,2/14/1951,retired,retired,rent,NC,8/23/2025 13:34
AP-10434,89,132,653,Good,West,4/30/1997,retired,employed,own,NC,2/5/2026 12:33
AP-10435,444,328,420,Fair,Southwest,2/10/1999,self-employed,self-employed,rent,NC,3/19/2026 8:49
AP-10436,375,114,606,Fair,Southwest,11/5/1976,retired,self-employed,other,NC,2/7/2025 16:37
AP-10437,179,175,623,Good,Southeast,2/8/1955,employed,employed,other,NC,1/14/2025 20:43
AP-10438,178,177,552,Fair,West,5/5/1948,self-employed,employed,own,NC,5/25/2025 0:47
AP-10439,994,204,732,Subprime,Midwest,4/18/1984,employed,retired,other,NC,7/9/2025 6:24
AP-10440,224,81,669,Good,Southwest,4/29/2003,employed,retired,rent,NC,11/30/2025 14:00
AP-10441,707,227,843,Fair,Northeast,3/28/1998,self-employed,retired,rent,NC,4/1/2025 20:17
AP-10442,484,5,442,Excellent,Southwest,12/19/1946,self-employed,employed,own,NC,10/24/2025 19:24
AP-10443,312,83,687,Good,Southwest,7/19/1971,self-employed,employed,other,NC,10/7/2025 10:52
AP-10444,156,292,613,Fair,Northeast,12/9/1965,self-employed,self-employed,own,NC,11/1/2025 18:31
AP-10445,602,349,645,Fair,Midwest,2/17/1996,employed,retired,own,NC,5/14/2025 10:37
AP-10446,107,169,377,Good,West,12/2/1958,self-employed,self-employed,rent,NC,3/11/2025 23:20
AP-10447,302,312,565,Fair,Northeast,11/27/1956,retired,self-employed,own,NC,11/28/2025 12:04
AP-10448,490,248,762,Excellent,Midwest,7/27/1980,employed,self-employed,own,NC,2/18/2025 0:41
AP-10449,2,301,350,Fair,Northeast,4/22/1991,employed,self-employed,rent,NC,2/27/2026 9:18
AP-10450,640,4,568,Fair,West,8/26/1970,retired,retired,own,NC,5/8/2026 5:36
AP-10451,987,97,820,Fair,West,2/25/1948,self-employed,employed,own,NC,1/6/2025 10:16
AP-10452,810,284,820,Fair,Southeast,10/15/1995,self-employed,employed,other,NC,7/8/2025 10:07
AP-10453,639,165,662,Excellent,Southeast,2/25/1980,retired,employed,own,NC,4/2/2025 17:36
AP-10454,36,320,709,Subprime,Northeast,6/22/1964,self-employed,retired,rent,NC,10/21/2025 20:45
AP-10455,146,127,356,Good,Southwest,7/9/1950,retired,employed,rent,NC,4/13/2025 5:55
AP-10456,380,114,381,Fair,Midwest,4/16/1998,employed,retired,rent,NC,10/28/2025 15:14
AP-10457,29,123,773,Subprime,Northeast,9/4/1957,employed,employed,other,NC,6/22/2026 20:03
AP-10458,231,215,802,Good,Northeast,12/29/1968,retired,retired,own,NC,1/1/2026 8:48
AP-10459,230,191,369,Good,West,3/29/1974,self-employed,retired,other,NC,12/31/2025 16:47
AP-10460,354,321,336,Fair,West,4/5/1984,retired,employed,own,NC,6/27/2026 19:53
AP-10461,768,80,673,Subprime,Southeast,12/27/1997,self-employed,employed,rent,NC,1/17/2026 18:59
AP-10462,199,321,792,Good,Northeast,8/17/1954,employed,self-employed,own,NC,12/5/2025 22:35
AP-10463,939,342,337,Excellent,Southeast,12/5/1956,self-employed,retired,own,NC,12/14/2025 17:28
AP-10464,123,80,493,Subprime,Southeast,3/3/1984,retired,retired,other,NC,1/9/2026 14:40
AP-10465,379,194,752,Subprime,Southwest,2/14/1990,self-employed,retired,other,NC,10/30/2025 12:53
AP-10466,266,13,749,Excellent,West,1/31/2005,retired,self-employed,rent,NC,6/2/2025 20:24
AP-10467,745,46,720,Fair,Southwest,10/15/1985,employed,retired,other,NC,1/3/2026 23:55
AP-10468,840,94,428,Excellent,Southeast,4/19/1966,employed,self-employed,other,NC,11/3/2025 20:40
AP-10469,930,26,450,Fair,Midwest,10/12/1974,self-employed,employed,rent,NC,2/27/2026 9:36
AP-10470,561,5,756,Subprime,Southeast,9/24/1961,employed,employed,own,NC,8/9/2025 19:53
AP-10471,588,245,781,Good,Midwest,12/18/1948,employed,self-employed,other,NC,11/11/2025 14:59
AP-10472,316,40,507,Subprime,West,5/16/1974,employed,self-employed,other,NC,6/15/2026 3:50
AP-10473,20,242,716,Excellent,Northeast,1/10/1995,self-employed,employed,other,NC,12/1/2025 18:17
AP-10474,559,233,788,Excellent,Northeast,10/27/1985,employed,self-employed,rent,NC,5/16/2026 11:41
AP-10475,893,20,397,Subprime,Southeast,9/23/1985,retired,retired,other,NC,6/17/2025 7:00
AP-10476,822,116,614,Good,Midwest,11/27/1973,retired,self-employed,other,NC,8/14/2025 11:19
AP-10477,810,271,465,Subprime,Midwest,6/25/1996,retired,employed,other,NC,4/22/2026 4:14
AP-10478,999,326,334,Fair,Southwest,7/1/1960,employed,employed,own,NC,11/16/2025 1:38
AP-10479,571,339,344,Good,Midwest,6/18/1989,employed,employed,rent,NC,1/18/2026 22:51
AP-10480,564,174,383,Fair,Southeast,8/28/1950,self-employed,retired,own,NC,4/30/2025 16:27
AP-10481,104,141,592,Subprime,Midwest,3/25/1992,self-employed,employed,other,NC,3/29/2026 7:49
AP-10482,770,261,779,Good,Southeast,7/25/2003,employed,retired,own,NC,2/13/2025 13:36
AP-10483,515,352,610,Subprime,Northeast,6/23/1960,self-employed,retired,other,NC,10/24/2025 3:15
AP-10484,589,77,576,Fair,Southeast,7/2/1989,employed,retired,own,NC,1/18/2025 6:27
AP-10485,309,305,768,Good,Southwest,4/12/1987,retired,employed,rent,NC,6/10/2025 8:12
AP-10486,22,164,547,Good,Southwest,6/2/1988,retired,retired,rent,NC,3/2/2025 10:22
AP-10487,987,62,804,Subprime,Northeast,9/5/1958,self-employed,self-employed,rent,NC,1/17/2026 17:27
AP-10488,484,188,556,Excellent,Southwest,5/1/2002,retired,retired,rent,NC,11/27/2025 20:50
AP-10489,482,356,780,Fair,Southeast,6/12/1959,employed,employed,rent,NC,6/9/2025 7:22
AP-10490,850,79,486,Excellent,Northeast,9/17/1971,employed,self-employed,other,NC,7/9/2025 1:45
AP-10491,346,142,838,Subprime,Midwest,3/6/1960,self-employed,employed,other,NC,1/17/2025 4:22
AP-10492,306,247,440,Excellent,Southwest,7/23/1950,retired,employed,other,NC,6/21/2026 7:50
AP-10493,720,280,458,Subprime,West,12/14/1958,self-employed,self-employed,other,NC,8/29/2025 6:20
AP-10494,613,187,734,Excellent,Southwest,10/31/1996,self-employed,retired,rent,NC,9/27/2025 6:16
AP-10495,553,280,621,Excellent,Midwest,6/18/1992,employed,retired,other,NC,10/12/2025 8:32
AP-10496,437,347,561,Fair,Midwest,11/22/1954,retired,self-employed,rent,NC,2/5/2026 0:42
AP-10497,62,83,350,Fair,Southeast,12/29/1953,self-employed,employed,own,NC,8/22/2025 20:53
AP-10498,638,184,544,Fair,Southwest,12/14/1969,employed,retired,other,NC,9/15/2025 8:58
AP-10499,560,62,585,Good,Northeast,3/26/1953,self-employed,self-employed,other,NC,4/18/2025 3:37
AP-10500,813,340,810,Subprime,West,4/14/1983,self-employed,retired,own,NC,7/15/2026 7:03
AP-10501,623,16,540,Good,Southwest,5/6/1956,retired,self-employed,rent,NC,5/28/2026 10:10
AP-10502,900,284,513,Subprime,Southeast,12/4/2007,self-employed,employed,other,NC,4/22/2026 1:17
AP-10503,371,237,803,Excellent,Southeast,1/28/2001,employed,employed,rent,NC,3/12/2026 8:57
AP-10504,598,268,820,Fair,Southwest,11/6/1962,self-employed,employed,own,NC,6/8/2025 15:18
AP-10505,313,339,777,Fair,Southeast,4/18/1994,retired,employed,rent,NC,3/4/2025 16:08
AP-10506,487,14,595,Fair,Southeast,4/5/1990,self-employed,retired,rent,NC,11/15/2025 0:27
AP-10507,401,32,710,Subprime,Midwest,5/3/1989,retired,retired,other,NC,9/8/2025 7:41
AP-10508,368,345,829,Fair,West,5/30/1948,retired,retired,rent,NC,12/27/2025 23:21
AP-10509,208,10,394,Excellent,Midwest,6/17/1951,employed,employed,rent,NC,7/17/2026 10:24
AP-10510,322,19,487,Excellent,West,12/12/1967,retired,self-employed,rent,NC,11/22/2025 12:25
AP-10511,978,168,351,Excellent,West,3/9/1980,self-employed,self-employed,rent,NC,7/22/2026 23:37
AP-10512,422,174,692,Fair,Southwest,11/23/1963,retired,retired,own,NC,12/6/2025 0:21
AP-10513,780,281,388,Good,West,5/13/1995,employed,employed,other,NC,2/9/2025 2:32
AP-10514,995,294,773,Fair,Southeast,7/8/1965,retired,employed,rent,NC,1/7/2026 8:11
AP-10515,287,63,389,Excellent,Southeast,8/5/1999,retired,retired,own,NC,3/24/2026 5:03
AP-10516,924,89,699,Fair,Southeast,6/21/2000,retired,self-employed,rent,NC,8/15/2025 4:00
AP-10517,312,84,840,Excellent,Southwest,1/30/1977,self-employed,employed,rent,NC,5/11/2025 22:29
AP-10518,70,250,341,Fair,Midwest,12/26/1997,employed,self-employed,own,NC,4/20/2026 5:42
AP-10519,573,18,500,Good,West,8/28/1956,self-employed,self-employed,own,NC,2/3/2025 20:14
AP-10520,712,190,792,Good,Southeast,7/4/1953,self-employed,self-employed,rent,NC,6/5/2025 4:58
AP-10521,74,104,628,Good,Northeast,10/13/1985,retired,employed,other,NC,12/19/2025 5:40
AP-10522,25,163,695,Good,Northeast,12/29/1996,self-employed,employed,other,NC,5/21/2025 17:56
AP-10523,811,183,430,Good,Southwest,3/21/2006,employed,employed,rent,NC,8/21/2025 21:21
AP-10524,454,43,726,Excellent,Southeast,4/7/1962,employed,retired,rent,NC,7/15/2026 15:56
AP-10525,652,70,588,Fair,Northeast,1/30/1964,self-employed,retired,other,NC,11/30/2025 12:13
AP-10526,48,108,417,Good,Southwest,1/20/1956,retired,employed,other,NC,2/5/2026 15:13
AP-10527,866,312,767,Subprime,Southeast,2/16/1966,retired,employed,own,NC,5/11/2025 10:22
AP-10528,837,228,506,Excellent,Southeast,12/10/1946,retired,retired,rent,NC,2/23/2025 22:01
AP-10529,756,326,752,Good,Southeast,5/3/1991,retired,employed,other,NC,9/6/2025 23:38
AP-10530,45,281,691,Subprime,West,8/30/1961,employed,employed,other,NC,1/17/2025 4:57
AP-10531,376,177,588,Fair,West,6/17/1946,employed,retired,own,NC,11/8/2025 13:27
AP-10532,353,13,509,Excellent,Northeast,8/14/1975,self-employed,self-employed,rent,NC,7/27/2025 6:02
AP-10533,813,152,625,Excellent,Northeast,3/22/2007,retired,self-employed,rent,NC,5/1/2026 8:32
AP-10534,126,58,504,Excellent,Midwest,3/27/1965,retired,employed,other,NC,3/30/2026 15:28
AP-10535,366,261,710,Good,West,4/22/1967,employed,self-employed,own,NC,3/28/2026 2:50
AP-10536,253,8,619,Excellent,Southeast,4/9/1993,retired,employed,own,NC,4/23/2026 7:59
AP-10537,994,118,556,Subprime,Midwest,6/29/1954,retired,self-employed,rent,NC,9/18/2025 23:53
AP-10538,559,345,583,Fair,Southwest,9/3/1989,retired,retired,rent,NC,2/22/2026 22:07
AP-10539,423,235,346,Fair,Midwest,1/8/1950,employed,retired,other,NC,12/14/2025 5:25
AP-10540,447,347,792,Good,West,8/5/1992,self-employed,self-employed,rent,NC,3/17/2025 10:58
AP-10541,975,25,375,Subprime,West,2/10/1963,retired,self-employed,rent,NC,5/1/2026 3:36
AP-10542,622,218,565,Subprime,Southeast,3/7/1953,employed,self-employed,other,NC,8/12/2025 21:30
